iRECORD_ID,iCIK,iCUSIP,iPERIOD_END,iFILING_DATE,iAMEND,iRESTATEMENT,iTYPE,iQTY,iMARKET_VALUE,iLONG_FRACTION
4443807,0000216235,071813109,1999-09-30,2000-01-03,0,0,0,19530,1176690,0.00348441
4443808,0000216235,375766102,1999-09-30,2000-01-03,0,0,0,121696,4450500,0.0131788
4443809,0000216235,371901109,1999-09-30,2000-01-03,0,0,0,62180,1284410,0.00380339
4443810,0000216235,585509102,1999-09-30,2000-01-03,0,0,0,35764,1202550,0.00356098
4443811,0000216235,277461109,1999-09-30,2000-01-03,0,0,0,47568,3597290,0.0106523
4443812,0000216235,370442105,1999-09-30,2000-01-03,0,0,0,73388,2139420,0.00633524
4443813,0000216235,339324402,1999-09-30,2000-01-03,0,0,0,19075,81069,0.000240061
4443814,0000216235,382550101,1999-09-30,2000-01-03,0,0,0,9370,450931,0.00133529
4443815,0000216235,364730101,1999-09-30,2000-01-03,0,0,0,84244,5945160,0.0176048
4443816,0000216235,655844108,1999-09-30,2000-01-03,0,0,0,134050,3284220,0.00972521
4443817,0000216235,110122108,1999-09-30,2000-01-03,0,0,0,37206,2511400,0.00743674
4443818,0000216235,693475105,1999-09-30,2000-01-03,0,0,0,156718,8390390,0.0248456
4443819,0000216235,478160104,1999-09-30,2000-01-03,0,0,0,66790,6256850,0.0185278
4443820,0000216235,17275R102,1999-09-30,2000-01-03,0,0,0,30230,2072640,0.00613749
4443821,0000216235,833034101,1999-09-30,2000-01-03,0,0,0,199270,6607110,0.0195649
4443822,0000216235,166751107,1999-09-30,2000-01-03,0,0,0,31204,2769350,0.00820058
4443823,0000216235,488360108,1999-09-30,2000-01-03,0,0,0,46460,1485270,0.00439817
4443824,0000216235,025537101,1999-09-30,2000-01-03,0,0,0,36388,1318040,0.00390297
4443825,0000216235,950590109,1999-09-30,2000-01-03,0,0,0,190050,5125880,0.0151787
4443826,0000216235,291011104,1999-09-30,2000-01-03,0,0,0,59205,3722060,0.0110217
4443827,0000216235,534187109,1999-09-30,2000-01-03,0,0,0,108400,4163000,0.0123275
4443828,0000216235,81760N109,1999-09-30,2000-01-03,0,0,0,62344,1001400,0.00296534
4443829,0000216235,718154107,1999-09-30,2000-01-03,0,0,0,138234,4725890,0.0139943
