pSP_CUSIP,pSP_EXCHANGE,pSP_TICKER,pSP_DATE,pSP_VOLUME,pSP_OPEN,pSP_HIGH,pSP_LOW,pSP_CLOSE
013817101,"N     ","AA    ",1996-04-02,3449200,15.4062,15.4688,15.25,15.375
013817101,"N     ","AA    ",1996-04-03,5277600,15.2812,15.2812,15,15.0938
013817101,"N     ","AA    ",1996-04-04,4011200,15.2188,15.7812,15.0312,15.5
013817101,"N     ","AA    ",1996-04-08,4256000,15.5,15.9375,15.375,15.8125
013817101,"N     ","AA    ",1996-04-09,5226400,16,16.1562,15.9062,16.0938
013817101,"N     ","AA    ",1996-04-10,6778000,16.0312,16.4375,15.9688,16.3438
013817101,"N     ","AA    ",1996-04-11,9676800,16.3438,16.375,16,16.25
013817101,"N     ","AA    ",1996-04-12,2970400,16.1875,16.3125,16,16.3125
013817101,"N     ","AA    ",1996-04-15,2998800,16.0938,16.25,16,16.25
013817101,"N     ","AA    ",1996-04-16,4084000,16.125,16.3125,16.0625,16.1562
013817101,"N     ","AA    ",1996-04-17,3828400,16.125,16.1562,15.9062,16.0312
013817101,"N     ","AA    ",1996-04-18,1682800,16,16.125,15.9688,16.125
013817101,"N     ","AA    ",1996-04-19,3203200,16.0625,16.0938,15.875,15.875
013817101,"N     ","AA    ",1996-04-22,2658000,15.9062,15.9375,15.7812,15.7812
013817101,"N     ","AA    ",1996-04-23,1966400,15.8125,15.8438,15.7188,15.75
013817101,"N     ","AA    ",1996-04-24,2288400,15.6875,15.7188,15.5625,15.625
013817101,"N     ","AA    ",1996-04-25,3274800,15.4688,15.7188,15.4375,15.5625
013817101,"N     ","AA    ",1996-04-26,3383600,15.625,15.7812,15.625,15.6562
013817101,"N     ","AA    ",1996-04-29,1495200,15.7188,15.8438,15.7188,15.7812
013817101,"N     ","AA    ",1996-04-30,2492400,15.7812,15.7812,15.5625,15.5938
013817101,"N     ","AA    ",1996-05-01,3589200,15.5,15.6875,15.375,15.5
013817101,"N     ","AA    ",1996-05-02,8020800,15.5,15.6875,15.25,15.375
013817101,"N     ","AA    ",1996-05-03,4307600,15.375,15.75,15.375,15.6875
013817101,"N     ","AA    ",1996-05-06,7595200,15.8438,16.5625,15.7812,16.5
013817101,"N     ","AA    ",1996-05-07,5830800,16.4375,16.5312,16.2188,16.25
013817101,"N     ","AA    ",1996-05-08,6050400,16.1562,16.3438,16,16.25
013817101,"N     ","AA    ",1996-05-09,2431600,16.25,16.3125,16.0312,16.1562
013817101,"N     ","AA    ",1996-05-10,5300000,16.375,16.5625,16.375,16.4688
013817101,"N     ","AA    ",1996-05-13,4325600,16.3125,16.5625,16.3125,16.5625
013817101,"N     ","AA    ",1996-05-14,2872400,16.5,16.5312,16.4062,16.4375
013817101,"N     ","AA    ",1996-05-15,3062400,16.4062,16.5625,16.4062,16.4688
013817101,"N     ","AA    ",1996-05-16,1532000,16.4062,16.5,16.3438,16.375
013817101,"N     ","AA    ",1996-05-17,3397600,16.3438,16.4062,16.2812,16.2812
013817101,"N     ","AA    ",1996-05-20,10312400,16.0625,16.0625,15.6562,15.8125
013817101,"N     ","AA    ",1996-05-21,3930000,15.75,16.125,15.75,15.9062
013817101,"N     ","AA    ",1996-05-22,3380800,15.9375,15.9375,15.7188,15.7188
013817101,"N     ","AA    ",1996-05-23,2365200,15.7188,15.75,15.625,15.625
013817101,"N     ","AA    ",1996-05-24,2561200,15.8125,15.8125,15.5938,15.6875
013817101,"N     ","AA    ",1996-05-28,3463200,15.75,15.8125,15.375,15.375
013817101,"N     ","AA    ",1996-05-29,3022000,15.4375,15.5938,15.375,15.4688
